dc (V),value(Gm "Vtun" -0.4),value(Gm "Vtun" -0.3),value(Gm "Vtun" -0.2),value(Gm "Vtun" -0.1),value(Gm "Vtun" -2.775558e-17),value(Gm "Vtun" 0.1),value(Gm "Vtun" 0.2),value(Gm "Vtun" 0.3)
-400.0E-3,183.8E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.96E-9,63.57E-9
-390.0E-3,183.7E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.96E-9,63.57E-9
-380.0E-3,183.7E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.95E-9,63.57E-9
-370.0E-3,183.7E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.95E-9,63.56E-9
-360.0E-3,183.7E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.95E-9,63.56E-9
-350.0E-3,183.7E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.94E-9,63.56E-9
-340.0E-3,183.7E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.94E-9,63.56E-9
-330.0E-3,183.7E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.93E-9,63.55E-9
-320.0E-3,183.7E-9,183.5E-9,177.5E-9,157.3E-9,133.1E-9,109.1E-9,85.93E-9,63.55E-9
-310.0E-3,183.6E-9,183.4E-9,177.4E-9,157.3E-9,133.1E-9,109.1E-9,85.93E-9,63.55E-9
-300.0E-3,183.6E-9,183.4E-9,177.4E-9,157.3E-9,133.1E-9,109.1E-9,85.92E-9,63.55E-9
-290.0E-3,183.6E-9,183.4E-9,177.4E-9,157.3E-9,133.1E-9,109.1E-9,85.92E-9,63.54E-9
-280.0E-3,183.6E-9,183.4E-9,177.4E-9,157.3E-9,133.0E-9,109.1E-9,85.92E-9,63.54E-9
-270.0E-3,183.6E-9,183.4E-9,177.4E-9,157.3E-9,133.0E-9,109.1E-9,85.91E-9,63.54E-9
-260.0E-3,183.6E-9,183.4E-9,177.4E-9,157.3E-9,133.0E-9,109.1E-9,85.91E-9,63.54E-9
-250.0E-3,183.6E-9,183.4E-9,177.4E-9,157.3E-9,133.0E-9,109.1E-9,85.91E-9,63.54E-9
-240.0E-3,183.6E-9,183.4E-9,177.4E-9,157.2E-9,133.0E-9,109.1E-9,85.91E-9,63.53E-9
-230.0E-3,183.6E-9,183.4E-9,177.4E-9,157.2E-9,133.0E-9,109.1E-9,85.90E-9,63.53E-9
-220.0E-3,183.6E-9,183.4E-9,177.4E-9,157.2E-9,133.0E-9,109.1E-9,85.90E-9,63.53E-9
-210.0E-3,183.5E-9,183.4E-9,177.4E-9,157.2E-9,133.0E-9,109.1E-9,85.90E-9,63.53E-9
-200.0E-3,183.5E-9,183.4E-9,177.4E-9,157.2E-9,133.0E-9,109.1E-9,85.90E-9,63.53E-9
-190.0E-3,183.5E-9,183.4E-9,177.4E-9,157.2E-9,133.0E-9,109.1E-9,85.89E-9,63.53E-9
-180.0E-3,183.5E-9,183.3E-9,177.4E-9,157.2E-9,133.0E-9,109.1E-9,85.89E-9,63.53E-9
-170.0E-3,183.5E-9,183.3E-9,177.4E-9,157.2E-9,133.0E-9,109.1E-9,85.89E-9,63.52E-9
-160.0E-3,183.5E-9,183.3E-9,177.4E-9,157.2E-9,133.0E-9,109.0E-9,85.89E-9,63.52E-9
-150.0E-3,183.5E-9,183.3E-9,177.4E-9,157.2E-9,133.0E-9,109.0E-9,85.89E-9,63.52E-9
-140.0E-3,183.5E-9,183.3E-9,177.4E-9,157.2E-9,133.0E-9,109.0E-9,85.89E-9,63.52E-9
-130.0E-3,183.5E-9,183.3E-9,177.4E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-120.0E-3,183.5E-9,183.3E-9,177.4E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-110.0E-3,183.5E-9,183.3E-9,177.4E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-100.0E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-90.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-80.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-70.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-60.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-50.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
-40.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.51E-9
-30.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.51E-9
-20.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.87E-9,63.51E-9
-10.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.87E-9,63.51E-9
0.000,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.87E-9,63.51E-9
10.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.87E-9,63.51E-9
20.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.87E-9,63.51E-9
30.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.87E-9,63.51E-9
40.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.51E-9
50.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.51E-9
60.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
70.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
80.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
90.00E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
100.0E-3,183.5E-9,183.3E-9,177.3E-9,157.2E-9,133.0E-9,109.0E-9,85.88E-9,63.52E-9
